mse,corr,shrink
0.000482542488086921,covariance,no shrinkage
0.000300150855812436,covariance,shrink std
7.80826424700645e-05,covariance,shrink basis
0.00761873082258522,correlation,no shrinkage
0.00690531276068621,correlation,shrink std
0.00234635416737595,correlation,shrink basis
0.404338666854574,partial correlation,no shrinkage
0.0157685002119823,partial correlation,shrink std
0.00234029778183708,partial correlation,shrink basis
0.000263516539289511,covariance,no shrinkage
0.000286626440312715,covariance,shrink std
9.28876924663415e-05,covariance,shrink basis
0.0132583140794809,correlation,no shrinkage
0.0174378777648746,correlation,shrink std
0.00353593897911788,correlation,shrink basis
0.255843165161381,partial correlation,no shrinkage
0.011221753503046,partial correlation,shrink std
0.00179020973839907,partial correlation,shrink basis
0.000293696791343292,covariance,no shrinkage
0.000146146128570069,covariance,shrink std
0.000203853389451669,covariance,shrink basis
0.0227702966632284,correlation,no shrinkage
0.0127575483226461,correlation,shrink std
0.0112196235828072,correlation,shrink basis
0.511830526113487,partial correlation,no shrinkage
0.00840310386972196,partial correlation,shrink std
0.00248638084280051,partial correlation,shrink basis
0.000352351604866078,covariance,no shrinkage
0.000191229249091503,covariance,shrink std
0.000128444120994683,covariance,shrink basis
0.0151626241663633,correlation,no shrinkage
0.0116670535758772,correlation,shrink std
0.0061556850842677,correlation,shrink basis
0.479455706046089,partial correlation,no shrinkage
0.0140772758355041,partial correlation,shrink std
0.00508388301024951,partial correlation,shrink basis
0.000294736753829971,covariance,no shrinkage
0.000133538008004792,covariance,shrink std
0.000115456725105942,covariance,shrink basis
0.0203764184121825,correlation,no shrinkage
0.0115704227945472,correlation,shrink std
0.0104880784839948,correlation,shrink basis
0.251418880160705,partial correlation,no shrinkage
0.0100544241371084,partial correlation,shrink std
0.00278520179470175,partial correlation,shrink basis
0.00559973035598091,covariance,no shrinkage
0.00634365203187795,covariance,shrink std
0.00496400278623959,covariance,shrink basis
0.0693063240975858,correlation,no shrinkage
0.0940262466339018,correlation,shrink std
0.0508958327580815,correlation,shrink basis
0.502925081440677,partial correlation,no shrinkage
0.0137365492118986,partial correlation,shrink std
0.00249965807416158,partial correlation,shrink basis
0.000247911390943058,covariance,no shrinkage
0.00031544885146505,covariance,shrink std
5.31068938748933e-05,covariance,shrink basis
0.0305845319806534,correlation,no shrinkage
0.0418687265032883,correlation,shrink std
0.00386796205125136,correlation,shrink basis
0.208047461569186,partial correlation,no shrinkage
0.00633102334458878,partial correlation,shrink std
0.00285427725542619,partial correlation,shrink basis
0.000156191208106247,covariance,no shrinkage
0.000108654321576564,covariance,shrink std
0.000125228889388637,covariance,shrink basis
0.0204361638418372,correlation,no shrinkage
0.0132928871151625,correlation,shrink std
0.013798583924244,correlation,shrink basis
0.245532405212385,partial correlation,no shrinkage
0.00852921780734492,partial correlation,shrink std
0.00237445437056492,partial correlation,shrink basis
0.000615991862295343,covariance,no shrinkage
0.000441499429836088,covariance,shrink std
5.80261227881967e-05,covariance,shrink basis
0.0144707499521372,correlation,no shrinkage
0.0145576083353896,correlation,shrink std
0.00296793040786989,correlation,shrink basis
0.349148267495252,partial correlation,no shrinkage
0.0132340661475643,partial correlation,shrink std
0.00222008210019586,partial correlation,shrink basis
0.000179416894227597,covariance,no shrinkage
0.000100970065526128,covariance,shrink std
8.26174237542734e-05,covariance,shrink basis
0.0208002052847259,correlation,no shrinkage
0.0122146275497682,correlation,shrink std
0.00836575953437561,correlation,shrink basis
0.501275860239587,partial correlation,no shrinkage
0.0110127881450896,partial correlation,shrink std
0.00176537283543667,partial correlation,shrink basis
0.000253372030568778,covariance,no shrinkage
0.000159316049206213,covariance,shrink std
